Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-54,3,0.6842,0.6994,0.6191,0.7342,0.0590,3,100.00,0.6994;0.6191;0.7342,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-55,2,0.7113,0.7113,0.6353,0.7874,0.1075,2,100.00,0.6353;0.7874,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-15_sub-27_sub-29_sub-45_sub-55_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-56,2,0.7025,0.7025,0.6457,0.7592,0.0803,2,100.00,0.6457;0.7592,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-11_sub-34_sub-35_sub-37_sub-47_sub-56
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-57,3,0.6550,0.6191,0.5567,0.7891,0.1203,3,100.00,0.7891;0.5567;0.6191,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-11_sub-25_sub-30_sub-45_sub-57_sub-59;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-58,2,0.7241,0.7241,0.6856,0.7626,0.0544,2,100.00,0.6856;0.7626,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-59,3,0.5984,0.6191,0.5567,0.6193,0.0361,3,100.00,0.5567;0.6193;0.6191,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-6,1,0.6457,0.6457,0.6457,0.6457,0.0000,1,100.00,0.6457,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-60,5,0.7190,0.7155,0.6193,0.8264,0.0743,5,100.00,0.6994;0.6193;0.7155;0.8264;0.7342,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60;sub-14_sub-28_sub-35_sub-59_sub-60_sub-61;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-4_sub-7_sub-26_sub-47_sub-60_sub-62;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-61,1,0.6193,0.6193,0.6193,0.6193,0.0000,1,100.00,0.6193,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-62,2,0.8069,0.8069,0.7874,0.8264,0.0276,2,100.00,0.7874;0.8264,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62;sub-4_sub-7_sub-26_sub-47_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-63,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-64,3,0.7535,0.7626,0.7228,0.7752,0.0273,3,100.00,0.7752;0.7228;0.7626,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64;sub-11_sub-27_sub-32_sub-43_sub-52_sub-64;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-65,1,0.7891,0.7891,0.7891,0.7891,0.0000,1,100.00,0.7891,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-7,1,0.8264,0.8264,0.8264,0.8264,0.0000,1,100.00,0.8264,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-8,1,0.7155,0.7155,0.7155,0.7155,0.0000,1,100.00,0.7155,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-9,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-1,1,0.6241,0.6241,0.6241,0.6241,0.0000,1,100.00,0.6241,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-10,1,0.6525,0.6525,0.6525,0.6525,0.0000,1,100.00,0.6525,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-11,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-12,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-13,2,0.6778,0.6778,0.6555,0.7001,0.0315,2,100.00,0.7001;0.6555,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58;sub-7_sub-13_sub-16_sub-43_sub-51_sub-54
