feature,group1,group1_mean,group2,group2_mean,mean_diff,cohens_d,rel_diff_pct,group1_std,group2_std
feature_71,alz,0.004695482933246072,cntrl,0.004838863483131173,0.00014338054988510037,0.033544094945430855,3.0076639472384628,0.004671785695533376,0.003836044989573138
feature_16,alz,0.9187751030702284,cntrl,0.9172834683532206,0.0014916347170077504,0.026667522139072093,0.16248225848822725,0.05629325449476693,0.05557344470334733
feature_55,alz,0.006838724373694886,cntrl,0.006994506268093578,0.00015578189439869206,0.02424523948352103,2.252285072557012,0.0074436389901108065,0.005211534638562807
feature_88,alz,1.45112259468576e-05,cntrl,9.070960128182703e-06,5.440265818674898e-06,0.024236537362170574,46.138774423741374,0.0002628441656607057,0.00017799562230714342
feature_52,alz,0.9005582572245454,cntrl,0.8990828727343496,0.0014753844901957969,0.022024569052493153,0.16396429995234613,0.06713589675380692,0.06684001794302641
feature_68,alz,0.9189185920046404,cntrl,0.9179799929280854,0.0009385990765550245,0.01716273360844211,0.10219389184072994,0.05525779317786569,0.05411261963521247
feature_20,alz,0.9186528781638753,cntrl,0.9177131871889629,0.0009396909749124216,0.01682932386385286,0.10234244605602315,0.05654463571421874,0.05511931950542128
feature_64,alz,0.9050697372589983,cntrl,0.9040563155637288,0.001013421695269523,0.015444506967388411,0.11203439292561293,0.0654540027013109,0.06577952643786941
feature_84,alz,2.6154395156857615e-05,cntrl,2.9649865664839054e-05,3.495470507981439e-06,0.013506657073526012,12.527611535434591,0.00028874748038688143,0.00022489055308481107
feature_90,alz,5.857740922599811e-06,cntrl,8.768634754842761e-06,2.9108938322429502e-06,0.013322966148146527,39.80335110265568,0.0002601355237821965,0.0001667410484772023
feature_8,alz,0.9064705171824389,cntrl,0.9072685823184459,0.0007980651360069979,0.012800429605903387,0.08800219791552313,0.06266518406478408,0.062026673551434486
feature_86,alz,-1.7980190749238095e-05,cntrl,-1.6108493133387632e-05,1.8716976158504623e-06,0.006762767481229182,0.0,0.00031623989631744437,0.00023062979700308039
feature_89,alz,-3.63004611027868e-06,cntrl,-1.8861430248185947e-06,1.7439030854600852e-06,0.005879256861469391,0.0,0.00030971660337313886,0.0002829170437929549
feature_81,alz,9.980961949632879e-06,cntrl,1.0712864833334195e-05,7.319028837013163e-07,0.003740959992216664,7.073634967349197,0.0002390929288857112,0.0001392446840596358
feature_77,alz,-3.627359474133611e-05,cntrl,-3.6858666270736775e-05,5.850715294006636e-07,0.0024349758741104527,0.0,0.00026971775447011615,0.00020668701924409318
feature_40,alz,0.8984025929665287,cntrl,0.8983866777522622,1.5915214266470912e-05,0.00023543466488659367,0.0017715170638907655,0.06679361769696888,0.06839545632130369
