feature,group,mean,std,median,min,max,q25,q75
feature_6,cntrl,0.038553477662780056,0.04216450850321901,0.024751166698404,0.0004991596831271492,0.5487771023258796,0.013275675754754017,0.04705419455844637
feature_7,alz,0.0065189878555731605,0.00624688120124668,0.004846457533394246,0.00018054656354397718,0.14937668494857115,0.002955190026125375,0.007910539473934799
feature_7,cntrl,0.007120707081476738,0.005779157902695934,0.005593837944059345,0.00023543264303706947,0.1553424517443147,0.003497090909614929,0.008900985612349517
feature_8,alz,0.9064705171824389,0.06266518406478408,0.9216176050325814,0.17059748512085254,0.9942758797267156,0.8818595757391539,0.9494405854088391
feature_8,cntrl,0.9072685823184459,0.062026673551434486,0.9234341991645322,0.42464845672325835,0.994736784200126,0.8818348396072619,0.9503713491494992
feature_9,alz,0.0649172446711209,0.046543916595538005,0.053072042740691217,0.003531933668155623,0.5491218949411012,0.03296463670010358,0.08263797197735881
feature_9,cntrl,0.05585056725545878,0.03823385960173378,0.04600515372610024,0.0017186523873891832,0.4488881287043453,0.029259128456302613,0.0714787899854756
feature_10,alz,0.0229152314173719,0.023461670130427548,0.01660691621133821,0.001047009595438686,0.6325332070284203,0.010079623247602256,0.027523345858149265
feature_10,cntrl,0.030725609603489048,0.03172317941367687,0.021254307218591378,0.000762000549224427,0.4453818196933136,0.01224122021809363,0.03709575474594365
feature_11,alz,0.005697006729068391,0.005534878424789908,0.004345567131742807,0.00035545199716673087,0.18582406632976672,0.002780567534644624,0.006890096914612778
feature_11,cntrl,0.006155240822606425,0.004854591238335258,0.004962966983657692,0.0003905541269213771,0.17598735017666006,0.0031561997555128794,0.007684280954886727
feature_12,alz,0.9082033549665969,0.06068481957169574,0.9237838443383429,0.21193908939893477,0.9944365474512038,0.8829648052470598,0.9505524342609335
feature_12,cntrl,0.9048797731793764,0.06521180297632177,0.9217323992799077,0.2592103044552674,0.9950346840973252,0.8791531547739757,0.9497457900620778
