Subject,Fold,Model,Accuracy
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.6714
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.6643
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.8132
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,0.7608
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.6903
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.7087
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.7960
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.6284
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,0.5736
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,0.5382
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),0.6173
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.6303
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.6556
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.5391
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.6420
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.5780
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.5649
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.4986
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.5265
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.6241
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.5610
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.6825
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.6489
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.7745
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.7630
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,0.8364
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.6303
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.6556
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.5391
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.6420
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.6555
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.6484
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,0.6325
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.6468
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.8264
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.8608
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,0.6926
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),0.8781
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.6903
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.7087
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.7960
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,KNN,0.6951
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,XGBoost,0.7309
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,SVM,0.6638
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,MLP_(Neural_Network),0.7306
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,KNN,0.6524
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,XGBoost,0.6369
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,SVM,0.7596
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,MLP_(Neural_Network),0.7249
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.7155
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.6540
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.6914
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.6841
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,KNN,0.6938
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,XGBoost,0.6133
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,SVM,0.7123
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,MLP_(Neural_Network),0.7196
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.6251
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.6954
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.5375
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.7488
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.5780
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.5649
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.4986
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.5265
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.6456
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.4865
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.5879
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,KNN,0.5513
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,XGBoost,0.5783
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,SVM,0.5333
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,MLP_(Neural_Network),0.6375
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,KNN,0.5112
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,XGBoost,0.5181
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,SVM,0.5739
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,MLP_(Neural_Network),0.5309
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.6525
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.5990
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,0.6240
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.6861
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.7288
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.7933
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,0.6743
