Subject,Fold,Model,Accuracy
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.5756
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.5167
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.4288
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.4636
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
