Subject,Fold,Model,Accuracy
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.6964
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.7133
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.7272
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.7261
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.6481
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.6353
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6814
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6629
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.7151
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.6799
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.6093
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.7282
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6910
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.7087
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5584
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.7000
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.6077
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.6120
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.5563
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6528
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.6164
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6418
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.7467
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.7094
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.6164
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6418
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.7467
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.7094
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.6164
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6418
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.7467
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.7094
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.6227
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.6808
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.6473
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.7228
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.6227
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.6808
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.6473
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.7228
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.6227
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.6808
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.6473
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.7228
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
