Subject,Fold,Model,Accuracy
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,MLP_(Neural_Network),0.5139
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,KNN,0.5386
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,XGBoost,0.5263
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,SVM,0.4820
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,MLP_(Neural_Network),0.4707
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.6260
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.5361
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,0.7408
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,MLP_(Neural_Network),0.6470
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.4994
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.6386
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.5414
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.6258
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.4924
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.4852
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.5554
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.4786
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,KNN,0.5349
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,XGBoost,0.4949
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,SVM,0.4910
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,MLP_(Neural_Network),0.5185
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.5761
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.5192
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,0.6435
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.6318
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,KNN,0.6002
