Subject,Fold,Model,Accuracy
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.3262
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.2931
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.4704
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.3191
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.7087
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),0.9606
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,0.9980
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.9488
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.8780
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.9508
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.9980
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.9567
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.8504
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.9941
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,0.9980
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.9803
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.7165
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,0.9980
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.9469
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.8307
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.9932
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.9932
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.9526
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.9368
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),0.9594
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,0.9887
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.9752
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.8984
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.9955
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.9729
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.8217
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.9661
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.9932
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.9594
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,KNN,0.8330
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,MLP_(Neural_Network),0.9977
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,SVM,0.9932
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,XGBoost,0.9932
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,KNN,0.7901
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,MLP_(Neural_Network),0.9729
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,SVM,0.9932
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,XGBoost,0.9481
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,KNN,0.8984
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,MLP_(Neural_Network),0.9865
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,SVM,0.9865
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,XGBoost,0.9639
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.5665
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.9089
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.7611
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,KNN,0.5616
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,MLP_(Neural_Network),0.9729
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,SVM,0.8670
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,XGBoost,0.9606
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.3186
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.4761
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,0.7678
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.4049
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,KNN,0.2870
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,MLP_(Neural_Network),0.5473
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,SVM,0.6989
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,XGBoost,0.4294
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,KNN,0.6650
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,MLP_(Neural_Network),0.9563
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,SVM,0.8908
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,XGBoost,0.9150
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,KNN,0.5485
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,MLP_(Neural_Network),0.9733
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,SVM,0.9078
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,XGBoost,0.8714
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,KNN,0.6748
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,MLP_(Neural_Network),0.9879
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,SVM,0.9078
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,XGBoost,0.9563
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.6408
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.9782
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.8981
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.9345
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.5583
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.9782
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,0.9345
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.8617
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.6092
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.9757
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.9150
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.8034
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.5968
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,MLP_(Neural_Network),0.6774
