experiment,experiment_dir,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy,test_f1,test_precision,test_recall,source_file
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,task_MLP_(Neural_Network)_43_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.615909090909091,0.8672746709427407,0.6082499960279882,0.6183076818936835,0.615909090909091,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-13_sub-16_sub-43_sub-51_sub-54/task_MLP_(Neural_Network)_43_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,task_MLP_(Neural_Network)_44_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.8572803078896729,0.8298434573187048,0.857145782274819,0.8599572204420858,0.8572803078896729,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-14_sub-22_sub-39_sub-40_sub-49/task_MLP_(Neural_Network)_44_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,task_MLP_(Neural_Network)_44_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.8537524053880693,0.8627575595397378,0.853757098843653,0.8542368132598479,0.8537524053880693,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-14_sub-22_sub-39_sub-40_sub-49/task_MLP_(Neural_Network)_44_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,task_MLP_(Neural_Network)_44_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.7742142398973701,0.9003545624832754,0.7742309620158766,0.7745025322760938,0.7742142398973701,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-14_sub-22_sub-39_sub-40_sub-49/task_MLP_(Neural_Network)_44_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,task_MLP_(Neural_Network)_45_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.7305921052631579,0.8005938480016014,0.7166422741898495,0.7937178681470789,0.7305921052631579,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-18_sub-35_sub-47_sub-57_sub-61/task_MLP_(Neural_Network)_45_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,task_MLP_(Neural_Network)_45_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.75,0.8341562687662641,0.7387208974575793,0.8083103935621673,0.75,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-18_sub-35_sub-47_sub-57_sub-61/task_MLP_(Neural_Network)_45_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,task_MLP_(Neural_Network)_45_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.7611842105263158,0.9165276573029959,0.7606385661931513,0.7648900942968534,0.7611842105263158,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-18_sub-35_sub-47_sub-57_sub-61/task_MLP_(Neural_Network)_45_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,task_MLP_(Neural_Network)_46_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.7195645001649621,0.8153953907214088,0.710304075667234,0.7426269135773542,0.7195645001649621,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-19_sub-28_sub-37_sub-42_sub-51/task_MLP_(Neural_Network)_46_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,task_MLP_(Neural_Network)_46_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.6011217419993401,0.8628222659507054,0.5888952189170323,0.6075963246863574,0.6011217419993401,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-19_sub-28_sub-37_sub-42_sub-51/task_MLP_(Neural_Network)_46_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,task_MLP_(Neural_Network)_46_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.5097327614648631,0.9074809058466464,0.5092519812803095,0.5115509130681828,0.5097327614648631,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-19_sub-28_sub-37_sub-42_sub-51/task_MLP_(Neural_Network)_46_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,task_MLP_(Neural_Network)_47_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.7249211356466877,0.8020372604208551,0.7139184737408641,0.7830099299820094,0.7249211356466877,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-29_sub-34_sub-39_sub-44_sub-47/task_MLP_(Neural_Network)_47_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,task_MLP_(Neural_Network)_47_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.6375394321766562,0.861178126256534,0.6327623910229736,0.6533829238324907,0.6375394321766562,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-29_sub-34_sub-39_sub-44_sub-47/task_MLP_(Neural_Network)_47_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,task_MLP_(Neural_Network)_47_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.6369085173501577,0.9439418308537729,0.6285860239266023,0.661272092408482,0.6369085173501577,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-8_sub-29_sub-34_sub-39_sub-44_sub-47/task_MLP_(Neural_Network)_47_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,task_MLP_(Neural_Network)_48_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.5766473199044042,0.8211401030413827,0.5762056544494512,0.5784840749210088,0.5766473199044042,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-12_sub-28_sub-44_sub-45_sub-51/task_MLP_(Neural_Network)_48_6123/results.json
