Subject,Fold,Model,Accuracy
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,1.0000
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.0173
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),1.0000
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,1.0000
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.9981
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.0516
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),1.0000
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,1.0000
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,1.0000
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.0366
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),1.0000
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,1.0000
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,1.0000
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.0183
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),1.0000
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,1.0000
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,1.0000
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.0127
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.9379
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.8322
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.9661
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.0185
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),1.0000
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.9974
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.9894
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.0128
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),1.0000
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.9979
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.9915
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.7282
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),1.0000
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,1.0000
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,1.0000
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.7243
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),1.0000
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,1.0000
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,1.0000
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.6955
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),1.0000
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,1.0000
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,1.0000
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.9721
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.0060
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.1936
sub-37,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.2435
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.9042
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.0000
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.0020
sub-37,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.0319
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.9268
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.0054
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.0411
sub-38,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.2482
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.9911
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.0286
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.1018
sub-38,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.0411
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,KNN,0.8414
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,MLP_(Neural_Network),0.1266
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,SVM,0.5134
sub-39,sub-1_sub-2_sub-3_sub-37_sub-38_sub-39,XGBoost,0.2763
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.9537
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.4242
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.6453
sub-39,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.3155
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.9921
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.1496
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.4193
sub-40,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.1161
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.9862
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.2776
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.0000
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.0256
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.3559
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.0590
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.0000
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.0469
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.9948
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.0816
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.0000
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.0295
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.4217
