Subject,Fold,Model,Accuracy
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,SVM,0.9953
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,XGBoost,0.8558
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.0047
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),1.0000
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.8180
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.9764
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.1324
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,MLP_(Neural_Network),0.9953
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,0.8794
sub-6,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.5768
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.0000
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),0.8794
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,0.7400
sub-6,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,0.9976
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.0355
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,MLP_(Neural_Network),1.0000
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,1.0000
sub-6,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.9882
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.4870
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.0000
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,0.9976
sub-6,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.6809
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.0071
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),0.8889
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,0.8818
sub-6,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.6879
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,KNN,0.0020
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,MLP_(Neural_Network),1.0000
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,SVM,1.0000
sub-7,sub-4_sub-7_sub-26_sub-47_sub-60_sub-62,XGBoost,0.9606
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,KNN,0.8937
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,MLP_(Neural_Network),0.0000
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,SVM,1.0000
sub-7,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,XGBoost,0.9961
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.8524
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.9941
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,0.9980
sub-7,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.9173
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.0020
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,MLP_(Neural_Network),1.0000
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,1.0000
sub-7,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.9626
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.0023
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),1.0000
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,SVM,0.9977
sub-8,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,XGBoost,0.9955
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,KNN,0.0248
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,MLP_(Neural_Network),1.0000
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,SVM,1.0000
sub-8,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65,XGBoost,0.9977
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,KNN,0.7156
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,MLP_(Neural_Network),1.0000
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,SVM,1.0000
sub-8,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57,XGBoost,0.9391
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,KNN,0.0677
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,MLP_(Neural_Network),1.0000
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,SVM,1.0000
sub-8,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,XGBoost,0.9233
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,KNN,0.4357
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,MLP_(Neural_Network),1.0000
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,SVM,1.0000
sub-8,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61,XGBoost,0.6953
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,KNN,0.2844
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,MLP_(Neural_Network),1.0000
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,SVM,1.0000
sub-8,sub-8_sub-19_sub-28_sub-37_sub-42_sub-51,XGBoost,0.9639
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,KNN,0.2438
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,MLP_(Neural_Network),1.0000
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,SVM,1.0000
sub-8,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47,XGBoost,0.9910
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.0271
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,MLP_(Neural_Network),0.9581
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.9951
sub-9,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,1.0000
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,KNN,0.1232
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,MLP_(Neural_Network),1.0000
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,SVM,0.9852
sub-9,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,XGBoost,0.9581
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.0035
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.9860
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,1.0000
sub-10,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.7025
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,KNN,0.2707
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,MLP_(Neural_Network),0.0023
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,SVM,1.0000
sub-10,sub-10_sub-32_sub-36_sub-38_sub-43_sub-46,XGBoost,0.9428
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,KNN,0.5388
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,MLP_(Neural_Network),0.9976
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,SVM,0.9757
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,XGBoost,0.9976
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,KNN,0.3034
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,MLP_(Neural_Network),0.2694
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,SVM,0.9612
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,XGBoost,0.9636
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,KNN,0.1893
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,MLP_(Neural_Network),1.0000
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,SVM,0.9490
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,XGBoost,0.9709
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.0874
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.9976
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.9320
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.9854
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,KNN,0.0534
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.9879
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,SVM,0.9660
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,XGBoost,0.9927
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.3762
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),1.0000
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.9515
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.9927
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.9153
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,MLP_(Neural_Network),0.9899
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,SVM,0.9819
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,XGBoost,0.9980
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.0222
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,MLP_(Neural_Network),0.8911
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.9798
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,1.0000
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,KNN,0.4710
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,MLP_(Neural_Network),0.9961
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,SVM,1.0000
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,XGBoost,0.8456
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,KNN,0.0097
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,MLP_(Neural_Network),1.0000
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,SVM,1.0000
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,XGBoost,0.8861
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.3089
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),1.0000
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,1.0000
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,1.0000
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.9054
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),1.0000
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,1.0000
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,1.0000
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.8610
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.9903
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,1.0000
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.8919
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,KNN,0.2804
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,MLP_(Neural_Network),0.9850
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,SVM,1.0000
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,XGBoost,0.3234
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,KNN,0.0411
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,MLP_(Neural_Network),1.0000
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,SVM,1.0000
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,XGBoost,0.3327
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,KNN,0.4430
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,MLP_(Neural_Network),0.9981
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,SVM,1.0000
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,XGBoost,0.9869
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.0972
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),1.0000
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,1.0000
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.9963
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.0168
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,MLP_(Neural_Network),1.0000
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,0.9981
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.9570
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,KNN,0.2297
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,MLP_(Neural_Network),0.9713
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,SVM,1.0000
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,XGBoost,0.9949
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,KNN,0.5845
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,MLP_(Neural_Network),1.0000
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,SVM,0.9054
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,XGBoost,0.8750
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,KNN,0.1588
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,MLP_(Neural_Network),0.9983
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,SVM,0.8919
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,XGBoost,0.7973
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.4916
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.6081
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.9122
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.9578
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.1419
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.9865
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,1.0000
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.9966
